,english,persian
404,interest rate parity (IRP),"برابری نرخ بهره
←  covered interest arbitrage"
405,interest rate risk premium,صرف ریسک نرخ بهره
406,interest rate swap,سوآپ نرخ بهره
407,interest tax shield,سپر مالیاتی بهره
408,intermarket spread swap,"سوآپ دامنک بین بازاری
      ← bond swap"
409,intermediate term debt,بدهی میان‌مدت
410,intermediated market,بازار با واسطه
411,internal market,بازار داخلی
412,internally efficient market,"بازار کارآی درون‌زاد
مترادف operationally efficient market
مقابل externally efficient market"
413,International Accounting Standard Board (IASB),هیأت استاندارهای حسابداری بین‌المللی 
414,International Financial Reporting Standards (IFRS),استانداردهای گزارشگری مالی بین‌المللی (آی‌ اف آر اس)
415,international Fisher effect (IFE),اثر بین‌المللی فیشر (برابری بهرۀ واقعی در همۀ کشورهای جهان)
416,International Organization of Securities Commissions (IOSCO),سازمان بین‌المللی کمیسیون‌های اوراق بهادار (آیسکو)
417,intrinsic value,"ارزش ذاتی (تحلیل مالی، اختیار معامله)
مترادف  economic value"
418,intuition,شهود
419,inventory financing,"تأمین مالی با وثیقۀ موجودی
مترادف   inventory loan
←  finance company"
420,investment asset,دارایی سرمایه‌گذاری
421,investment environment,محیط سرمایه‌گذاری
422,investment fund,صندوق سرمایه‌گذاری (صندوق‌های سرمایه‌گذاری مشترک بازار پول، حفظ ارزش و قابل‌معامله در بورس)
423,investment policy,"سیاست‌ سرمایه‌گذاری 
←  investment process"
424,investment process,فرآیند سرمایه‌گذاری
425,investment timing decision ,تصمیم به سرمایه‌گذاری در وقت مناسب
426,investment valuation,ارزشیابی سرمایه‌گذاری
427,investment value,"ارزش سرمایه‌گذاری
مترادف  intrinsic value"
429,Irrational exuberance ,سرخوشی نامعقول
430,Jensen's  alpha,"آلفای جنسن
مترادف  Jensen's performance index
← Alpha"
431,laggards,"سهام ضعیف
مترادف weak stocks
مقابل leading stocks"
432,lapsed,منقضی‌ (اعتبارات تخصیص‌یافتۀ سال مالی)
433,law of demand,قانون تقاضا
434,law of one price,"قانون قیمت واحد
←  absolute form of purchasing power parity"
435,law of one price (the),قانون قیمت واحد
436,law of supply,قانون عرضه
437,leads and lags variables,متغیرهای مقدم و مؤخر
438,Lehman Brothers,لیمن برادرز (بانک سرمایه‌گذاری ورشکسته در بحران مالی جهانی ۲۰۰۸)
439,level coupon bond,قرضۀ با کوپن ثابت
440,likelihood - versus severity (LVS) analysis,تحلیل احتمال و شدت
441,limit order book,"دفتر سفارش به قیمت معین (بازارگردان متخصص)
← specialist's book"
442,limits to arbitrage,موانع آربیتراژ (نظریه)
443,liquidation and deposit payoff,تصفیه و پرداخت سپرده‌ها (حل‌وفصل بحران مالی)
444,liquidity imbalance,عدم توازن نقدشوندگی (تبدیل اوراق بهادار به وجه نقد و وجه نقد به اوراق بهادار)
445,liquidity management,مدیریت نقدینگی
446,liquidity preference theory,نظریۀ ترجیح نقدشوندگی
447,liquidity premium,صرف نقدینگی (بازدﮤ بیشتر اوراق بهادار بلندمدت نسبت به اوراق کوتاه‌مدت به منظور جبران تقبل ریسک بیشتر نرخ بهره توسط سرمایه‌گذاران بلندمدت)
448,liquidity trader,"معامله‌گر عادی (اوراق بهادار)
 مقابل   information trader"
449,living beyond means,هزینه‌کرد بیش از توان
450,loan certificate,گواهی وام (تسویۀ پرداخت‌های بین‌بانکی)
451,loan commitment,تعهد وام (بانک)
452,loan covenant,"قرارداد بدهی
مترادف  loan indenture"
453,loan participation,مشارکت در اعطای وام (اعطای وام‌های خیلی بزرگ توسط تعدادی بانک مشارکت‌کننده)
454,loanable fund theory of interest rate,نظریۀ نرخ بهره بر اساس وجوه وام‌دادنی
455,loanable funds market,بازار وجوه وام‌دادنی
456,loanable funds theory,نظریۀ وجوه وام‌دادنی (تعیین نرخ بهره)
457,loanable funds theory ,نظریۀ وجوه وام‌دادنی
458,location specific advantages (LSAs),مزایای خاص مکان 
459,lock - in a profit,تثبیت سود
460,log return,بازدۀ لگاریتمی
461,long - term debt,"بدهی بلندمدت (بدهی با سررسید حداقل ۱ سال، اوراق قرضۀ بلندمدت با سررسید حداقل ۱۰ سال)
←  intermediate - term debt"
462,long - term efficiency,کارایی بلندمدت
463,Long-Term Capital Management (LTCM),ال‌تی‌سی‌ام (شرکت مدیریت سرمایۀ بلندمدت متعلق به شولز و میلر برندگان نوبل، ورشکسته در سال ۱۹۸۸)
464,loss aversion bias,سوگیری زیان‌گریزی
465,Louis Bachelier,لوئی باشلیه (بنیان‌گذار نظریۀ کارایی بازارهای مالی)
466,lower tail dependence,"وابستگی دم پایین (نظریۀ احتمالات)
مقابل upper tail dependence"
467,Macaulay convexity,تحدب مکاولی
468,Macaulay duration,دیرش مکاولی
469,maintenance margin intraday,ودیعۀ نگهداری حساب طی روز (حداقل ودیعه)
470,managed futures account,حساب آتی‌های مدیریت‌شده (استفاده از اوراق بهادار دولتی، قراردادهای آتی و اختیار روی آتی به منظور مدیریت سبد سرمایه‌گذاری)
471,managed investment company,"شرکت سرمایه‌گذاری مدیریت‌شده 
مقابل unit investment trust"
472,margin call,"اخطار کسری ودیعه
مترادف  maintenance call"
473,margin purchase ,"خرید اعتباری (اوراق بهادار)
←  margin account"
474,marginal convenience yield,بازدۀ در دسترس نهایی
475,marginal revenue,"درآمد نهایی 
← incremental revenue"
476,market anomaly,ناهنجاری بازار
477,market broadening instruments,ابزارهای بازارگشا
478,market conduct,"رفتار بازار 
مترادف market behavior"
479,market crash ,سقوط بازار (ریزش با شیب تند، موسوم به سقوط آزاد، قیمت اوراق بهادار به دلیل سفارش‌های سنگین فروش)
480,market discount bond,اوراق قرضۀ با تخفیف (زیر قیمت اسمی در بازار ثانویه)
481,market internalization advantages,مزایای درونی‌سازی بازار
482,market opening,شروع معاملات بازار (بورس)
483,market penetration,نفوذ بازار
484,market segmentation theory,نظریۀ تقسیم‌بندی بازار (ناظر به رابطۀ نرخ بهرۀ کوتاه‌مدت و بلندمدت)
485,market timer,بازاربین (سبد سرمایه‌گذاری)
486,Martingale,مارتینگل (نظریۀ احتمالات)
487,Martingale difference hypothesis (MDH),فرضیۀ تفاضلی‌بودن مارتینگل (قیمت‌های قراردادهای آتی)
488,materials requirements planning (MRP),"برنامه‌ریزی مواد مورد نیاز (مدیریت موجودی‌ها)
←work - in - process"
489,maturity intermediation,واسطه‌گری در سررسید 
490,maximum likelihood estimation (MLE),برآورد درست‌نمایی بیشینه (روش آماری)
491,mean - extended Gini (MEG),ضریب جینی با میانگین بسط‌یافته
492,mean reversion,بازگشت به میانگین (قیمت سهام)
493,measuring in constant dollars,اندازه‌گیری به قیمت‌های ثابت (بر مبنای سال پایۀ معین به منظور مقایسه با قیمت‌های جاری)
494,medium - term notes (MTNs),"۱. اوراق خزانۀ میان‌مدت (۵ تا ۱۰ سال)
۲. اوراق بدهی میان‌مدت "
495,mental accounting bias,سوگیری حسابداری ذهنی
496,mental shortcuts,میان‌برهای ذهنی
497,mid quote,مظنۀ میانه
498,minimum acceptable return (MAR),حداقل بازدۀ مورد قبول
499,modified duration,دیرش تعدیل‌شده
500,modified internal rate of return (MIRR),"نرخ بازدۀ داخلی تعدیل‌شده
←  capital budgeting internal rate of return"
501,momentum investing,سرمایه‌گذاری تکانه‌ای
502,momentum strategy,راهبرد تکانه
503,monetary accommodation ,"مساعدت پولی (تعدیل اثر تزاحم از طریق سیاست پولی)
← crowding out effect"
504,monetary base,پایۀ پولی
505,monetary contraction,"انقباض پولی
مقابل   monetary expansion"
506,monetary expansion,"انبساط پولی
مقابل  monetary contraction"
507,money center bank,بانک مرکزْ پولی (بانک‌های بزرگ مستقر در مراکز عمدۀ مالی)
508,money multiplier,ضریب فزایندۀ پولی
509,moneyness,"ارزندگی پولی
←  at the money; in the money; out of the money"
510,monopolistic competition,رقابت انحصاری
511,Moody's Investors Service,خدمات سرمایه‌گذاری مودیز (مؤسسۀ رتبه‌بندی)
512,Morgan Stanley,مورگان استانلی (شرکت خدمات مالی)
513,mortgage insurance,بیمۀ رهن (پوشش وام‌دهنده در مقابل کاهش ارزش وثیقه)
515,multinational banking ,بانکداری چندملیتی (فعالیت برون‌مرزی بانک‌ها به پول محلی)
516,multiple expansion,افزایش نسبت قیمت به عایدی (پی به ای)
517,multiple rate of return,نرخ بازدۀ چندگانه
518,municipal bonds (munis),"اوراق قرضۀ شهرداری (بلندمدت)
← advance refunding; general obligation bond; hospital revenue bond; industrial development bond; limited tax bond; municipal investment trust; municipal revenue bond; special assessment bonds; taxable municipal bond; tax exempt security; underlying debt; yield burning "
519,mutual investment fund,صندوق سرمایه‌گذاری مشترک 
520,mutually exclusive projects,"پروژه‌های جمع‌ناشدنی
مقابل   independent projects"
521,natural monopoly,انحصار طبیعی
522,negative risk,ریسک منفی (تهدیدات)
523,negotiable certificate of deposit (NCD),"گواهی سپردۀ قابل‌انتقال
مترادف  jumbo certificate of deposit"
524,net advantage to leasing (NAL),مزیت خالص نسبت به اجارۀ بلندمدت (خرید یا اجاره)
525,net capital flow,خالص جریان سرمایه
526,net convenience yield ,بازدۀ در دسترس خالص
527,net futures position,خالص موضع آتی
528,net income ,"سود خالص (کسب‌وکار)
  مترادف   bottom line, net earnings, net profit "
529,net income approach to valuation,رویکرد ارزشیابی بر اساس سود خالص
530,net income to net worth ratio,"نسبت سود خالص به ارزش ویژه
← return on equity"
531,net operating income approach to valuation ,رویکرد ارزشیابی بر اساس خالص سود عملیاتی 
532,netting ,"خالص‌کردن (کاهش ماندۀ نقدی از طریق کاهش رقم معاملات با انجام معاملات متقابل)
← technology of financial system"
533,neurofinance,مالی عصبی
534,no-arbitrage principle,"اصل نه به آربیتراژ (نظریۀ قیمت‌گذاری اختیار معامله)
← law of one price"
535,nominal return,"بازدۀ اسمی
مقابل   real return"
536,non-benchmark assets,دارایی‌های غیرمرجع
537,nonparametric models,"مدل‌های ناپارامتریک
مقابل  parametric models"
538,non-systematic risk,"ریسک غیرنظام‌مند
مترادف   company-unique risk, diversifiable risk, firm specific risk 
مقابل   systematic risk
← alpha"
539,odds,احتمال رویداد (آمار)
540,off - the - run Treasuries,"اوراق بدهی خزانۀ ماقبل انتشار جدید
مقابل on - the - run Treasuries"
541,off- balance sheet credit substitution,"معین اعتباری خارج از ترازنامه (اوراق بهادار کردن، وام چندبانکی، اعتبار اسنادی احتیاطی)
← securization; standby letter of credit; syndication"
542,off- balancing sheet banking ,بانکداری خارج از ترازنامه
543,offshore banking ,"بانکداری فراساحل (فعالیت برون‌مرزی بانک‌ها با پول رایج خود)
مقابل   multinational banking"
544,omitted variable bias,سوگیری متغیر از قلم‌افتاده
545,on - the - run Treasury issues,"انتشار جدید اوراق بدهی خزانه
مقابل  off-the-run Treasuries"
546,one triggers other order,"سفارش ماشه‌چکان
← triggers"
547,open - bid auction,"حراج باز
مقابل   sealed - bid"
548,open - end (mutual) fund,"صندوق سرمایه‌گذاری با سرمایۀ متغیر
مقابل   closed - end fund
←        unit investment trust (UIT           "
549,open position ,موضع باز
550,operating cycle,چرخۀ عملیاتی
551,operating income return on investment,بازدۀ سود عملیاتی سرمایه‌گذاری
552,operating profit (or loss),"سود یا زیان عملیاتی
مترادف     net operating income (or loss), net operating profit (or loss), operating income (or loss      "
553,optimal capital structure,ساختار سرمایۀ بهینه
554,optimal hedge ratio,"نسبت ریسک‌پناهی بهینه
← minimum - variance hedge ratio"
555,optimal portfolio,سبد بهینه
556,optimism,بهینه‌بینی
557,option agreement ,"قرارداد اختیار معامله (بین مشتری و کارگزار)
← option contract"
558,option contract,"قرارداد اختیار معامله (بین خریدار و فروشنده)
← option agreement"
559,option disclosure document,"آیین‌نامۀ معاملات اختیار 
←  option agreement"
560,option intrinsic value ,"اختیار معامله به ارزش ذاتی
← in-the-money"
561,option on futures,اختیار معامله روی آتی‌
562,order - driven trading system,سامانۀ معاملاتی سفارش‌پایه
563,over optimism ,خوش‌بینی مفرط
564,over the counter (OTC) market,بازار خارج از بورس
565,overconfidence bias,سوگیری بیش‌اعتمادی
566,overdiversified,"بیش‌متنوع 
← diversification"
567,overleveraged firm,شرکت سنگین‌اهرم
568,overmargined,"مازادْ ودیعه (حساب اعتباری نزد کارگزار)
مترادف   unrestricted
مقابل   undermargined account"
569,overnight loan,وام یک‌شبه
570,overowned (stocks),بیش‌مالک (شرکت با تعداد سهامدار بیش از حد)
571,overpriced,بیش‌قیمت
572,ownership specific advantages ,مزیت‌های رقابتی مالکیت (مالکیت معنوی و از این قبیل)
573,parametric models,"مدل‌های پارامتریک
مقابل  nonparametric models"
574,pass - through security,"اوراق بهادار انتقال وجوه (از وام‌گیرندگان به سرمایه‌گذاران)
←    mortgage backed security"
575,passing the book ,دورگردانی دفتر معاملات (شرکت‌های کارگزاری)
576,passive management ,"مدیریت غیرفعال (اوراق قرضه، صندوق سرمایه‌گذاری مشترک)
مقابل   active management"
577,path - dependent option,اختیار متکی به قیمت‌های دوره (قیمت‌های مبنا در طول دورۀ قرارداد و نه قیمت در سررسید)
578,payment mechanism ,ساز‌وکار پرداخت
579,payroll,حقوق و دستمزد 
580,perfect capital market,بازار سرمایۀ کامل
581,performance margin,"وجه‌الضمان انجام تعهد (خریدار یا فروشندۀ قرارداد آتی)
مترادف  initial margin"
582,permanent financing,"1.  [مالی شرکت‌ها] تأمین مالی بلندمدت (اوراق قرضه، سهام عادی و ممتاز) ۲. [مستغلات] وام رهنی بلندمدت (۱۵، ۲۰ یا ۳۰ ساله)
کوتاه‌شدۀ permanent sources financing"
583,permanent investment ,سرمایه‌گذاری دایمی
584,perpetuity,"جریان نقدی دایمی (نظیر کنسول، اوراق قرضۀ دایمی انگلیس)
← consol"
585,pitch book,ابرازنامه (شرکت تأمین سرمایه)
586,point of sale (POS),کارت‌خوان فروش 
587,pooling,"تجمیع (دارایی‌ها یا بدهی‌ها به منظور کاهش ریسک یا افزایش نقدشوندگی)
←  technology of financial system"
588,portfolio change measure,معیار تغییر سبد
589,portfolio performance evaluation ,ارزیابی عملکرد سبد (سرمایه‌گذاری)
590,positive homogeneity,همگنی مثبت (مدیریت ریسک)
591,post - trade,پس از معامله
592,pre - trade,پیش‌ از معامله
593,precautionary motive,"انگیزۀ احتیاطی (نگهداری نقدینگی)
←  speculative motive"
594,precious metals,فلزات گرانبها
595,prediction overconfidence,بیش‌اعتمادی در پیش‌بینی‌
596,preferred habitat theory,نظریۀ ترجیح زمان سررسید (ساختار زمانی قرضه)
597,prepayment risk,ریسک پرداخت پیش از موعد
598,price - weighted index,"شاخص موزون قیمت (نظیر شاخص صنعتی داو جونز)
←  market index"
599,price / earnings ratio (P/E),"نسبت قیمت به عایدی (معروف به پی به ایی)
مترادف multiple"
600,price discovery process,فرآیند کشف قیمت
601,price limit,حدّ قیمت
602,price relative index,"شاخص نسبی قیمت
کوتاه‌شده:  price relatives
مترادف  simple price index
←  market index"
603,primary dealer,"معامله‌گر مجاز (فدرال رزرو بانک نیویورک)
←  secondary dealer"
604,principal component analysis (PCA),تحلیل اجزای اصلی (مدل‌سازی عملکرد صندوق‌های سرمایه‌گذاری) 
605,principal risk,ریسک اصل سرمایه
606,principle of price-time priority,اصل اولویت قیمت و زمان
607,private equity,سرمایۀ خالص (سرمایه‌گذاری در سهام شرکت‌های سهامی خاص که در بورس و بازارهای عمومی معامله نمی‌شوند)
608,profitability index (PI),شاخص سودآوری (ارزیابی پروژه)
609,projected economic profit,سود اقتصادی پیش‌بینی‌شده
610,promised yield,بازدۀ تعهد‌شده
611,prospect theory,"نظریۀ چشم‌انداز (ارائه‌شده توسط کانمن و تورسکی، بدیل ""نظریۀ مطلوبیت مورد انتظار"")"
612,protective put,اختیار فروش حمایتی (خرید سهام و اختیار فروش آن به منظور کاهش ریسک)
613,pseudo-observations,شبه‌مشاهدات
614,psychology of money,روان‌شناسی پول
615,public offering,"1. عرضۀ عمومی (اوراق بهادار جدید)
مترادف  public issue
←  underwrite
۲. عرضۀ ثانویه
←  secondary offering"
616,publicly traded firm,شرکت‌ سهامی عام
617,purchase & assumption (P&A),خرید و تقبل مسئولیت (روش حل‌وفصل بحران بانکی)
618,purchasing power risk,"ریسک قدرت خرید (اوراق بهادار با درآمد ثابت)
"
619,pure discount security ,"اوراق بهادار صرفاً تخفیفی
←  zero- coupon security"
620,pure expectation theory,نظریۀ انتظار محض (نرخ بهره)
621,pure play approach ,رویکرد تک‌رشته‌ای (در فعالیت تجاری)
622,put - call parity (PCP),"برابری قیمت اختیار خرید با اختیار فروش
←   arbitrage"
623,put option,اختیار فروش (اختیار معامله)
624,puttable bond,"قرضه با حق بازخرید (قبل از سررسید)
مترادف    put bond"
625,puttable bond ,قرضه با اختیار فروش تبعی
626,pyramid schemes,طرح‌های هرمی (شرکت‌های هرمی)
627,quality cycle,چرخۀ کیفیت (بازار اوراق بهادار)
628,quantile - based risk measures,سنجه‌های ریسک مبتنی بر چندک
629,quote - driven trading system,سامانۀ معاملاتی مظنه‌پایه
630,random diversification ,"تنوع‌ تصادفی
← efficient diversification"
631,random walk model,مدل گشت تصادفی
632,random walk process,فرایند گشت تصادفی
633,randomness,تصادفی‌بودن
634,rank correlation,همبستگی رتبه‌ای
635,rate anticipation swap,"سوآپ با پیش‌بینی‌ تغییرات نرخ بهره (اوراق قرضه)
←  bond swap"
636,rational behaviour,رفتار عقلایی
637,rational expectations,انتظارات عقلایی
638,raw material inventory,موجودی مواد خام 
639,real investment ,"سرمایه‌گذاری واقعی (سرمایه‌گذاری در دارایی‌های واقعی)
مقابل   financial investment"
640,real option,"۱. انتخاب واقعی (گزینه‌هایی پیش روی شرکت‌هایی که در دارایی‌های واقعی سرمایه‌گذاری می‌کنند، مانند توسعه، توقف، کوچک‌سازی و غیره)
۲. اختیار معاملۀ واقعی (بر مبنای دارایی واقعی نه دارایی مالی)"
641,real return,"بازدۀ واقعی 
مقابل    nominal return"
642,realized volatility,"تلاطم تحقق‌یافته
← historical volatility"
643,recency bias,سوگیری تأخر (مالی‌رفتاری)
644,recency effect,"اثر تأخر
مترادف recency bias"
645,reciprocal loan,وام ضربدری (وام و اوراق بهادار)
646,recovery and normal banking system,مرحلۀ بازگشت به نظام بانکی عادی (بحران بانکی)
647,redemption fees,"کارمزد بازخرید (واحدهای صندوق سرمایه‌گذاری مشترک)
←  mutual fund share classes"
648,refinance position,"موقعیت بازتأمین مالی 
←  reinvestment position"
649,regime switching models,مدل‌های تغییر ساختاری
650,regret aversion bias,سوگیری پشیمان‌گریزی
651,regular cash dividend,سود سهام نقدی منظم
652,regulatory capital,"سرمایۀ مقرراتی
مترادف capital adequancy"
653,regulatory competition ,رقابت مقرراتی (بانک‌های امریکا)
654,regulatory risk costs,هزینه‌های ریسک نظارتی
655,reintermediation ,"واسطه‌گری مجدد (جایگزینی واسطۀ مالی با واسطۀ دیگر)
←   disintermediation"
656,reinvestment position,"موقعیت سرمایه‌گذاری مجدد
مقابل  refinance position"
657,relative valuation ,"ارزشیابی نسبی (شرکت‌ها)
مقابل   discounted cash flow valuation"
658,Renaissance Technologies,رنسانس تکنولوژی (صندوق‌ حفظ ارزش)
659,rente,رانت (اوراق قرضۀ دایمی دولت فرانسه)
660,replacement risk,ریسک جایگزینی (به دلیل نکول یکی از طرفین قرارداد تحویل آینده)
661,representative bias,"سوگیری نمایندگی
مترادف representativeness heuristic"
662,representativeness bias ,سوگیری تعمیم
663,resampling,نمونه‌برداری مجدد
664,reserve ratio,نسبت ذخیره (نسبت کل ذخایر نظام بانکی به سپرده‌های دیداری)
665,residual dividend,سود سهام باقی‌مانده (سیاست تقسیم سود)
666,residual dividend theory,نظریۀ سود سهام باقی‌مانده
667,resolution,۱. مصوبه (تصمیمات مجامع عمومی یا هیأت مدیرۀ شرکت‌ها)  ۲. مجوز نشر (اوراق قرضه)  ۳. حل‌وفصل (بحران بانکی)
668,Resolution Funding Corporation (REFCORP),"مؤسسۀ تأمین نقدینگی مؤسسات پس‌انداز و وام ورشکسته
← Resolution Trust Corporation"
669,Resolution Trust Corporation,"شرکت متولی حل‌وفصل بحران‌ مؤسسات پس‌انداز و وام
← Resolution Funding Corporation (REFCORP"
670,resource -seeking investment,"سرمایه‌گذاری متمرکز بر منابع (سرمایه‌گذاری مستقیم خارجی)
← foreign direct investment"
671,retail banking ,"بانکداری خرده‌فروشی
مترادف consumer banking"
672,retail deposit,"سپردۀ خرد
مقابل  wholesale deposit"
673,retail market,"بازار خرده‌فروشی (بازار معاملات اشخاص حقیقی)
←   wholesale market"
674,return on investment (ROI),بازدۀ سرمایه‌گذاری
675,return-based style analysis (RBSA),تحلیل سبک بازده‌محور (تکنیک آماری)
676,reversal strategy,راهبرد وارونه
677,reverse cash-and-carry arbitrage,آربیتراژ مواضع عینی - عاریتی معکوس
678,reverse convertibles,تبدیل‌پذیرهای معکوس (مانند تبدیل اوراق قرضۀ مبتنی بر سهام مشخص به آن سهام)
679,revolving credit,"اعتبار گردان 
مترادف open - end credit, revolver, revolving line of credit"
680,reward,پاداش
681,reward - to - volatility ratio,"نسبت پاداش به تلاطم
←  portfolio performance evaluation"
682,rho ,"رو (معیار اندازه‌گیری حساسیت ارزش اختیار معامله نسبت به تغییر نرخ بهرۀ بدون‌ریسک)
← theta; vega"
683,risk - adjusted assets,دارایی‌های تعدیل‌شده با ریسک
684,risk - adjusted measures of performance,"معیار عملکرد تعدیل‌شده با ریسک 
←  portfolio performance evaluation"
685,risk components,اجزای ریسک
686,risk- free asset,دارایی بدون‌ریسک
687,risk- free lending,وام‌دهی بدون‌ریسک
688,risk- free return,"بازدۀ بدون‌ریسک (سرمایه‌گذاری)
مترادف  riskless rate of return"
689,risk limits,حدود ریسک
690,risk map,نقشۀ ریسک
691,risk measures,معیارهای ریسک
692,risk response strategies,راهبردهای ریسک‌جواب (بیشینه‌کردن فرصت‌ها و کمینه‌کردن تهدیدات) 
693,roll forward,جلو‌راندن زمان قراداد (تحویل آینده، اختیار معامله، آتی)
694,rolling forward long position,جلوراندن موضع عینی
695,rolling forward short position ,جلوراندن موضع عاریتی
696,rolling futures position forward,جلوراندن موضع آتی
697,rolling hedge,جلوراندن ریسک‌پناهی
698,rolling return,بازدۀ جلوراندن (قراردادهای مشتقه)
699,rolling window,پنجرۀ غلتان (سری زمانی)
700,Salaf contract,قرراداد سلف
701,sampling,نمونه‌برداری
702,saving and loan association (S&L),"مؤسسۀ پس‌انداز و وام مسکن
← saving bank"
703,savvy investor,سرمایه‌گذار آگاه حرفه‌ای
704,scenario analysis,"تحلیل سناریو (ارزیابی پروژه)
←  what - if analysis"
705,search costs,هزینه‌های جستجو
706,seasoned equity offering (SEO),"عرضۀ ثانویه (سهام شرکت‌های سهامی عام موجود)
مترادف  capital increase, seasoned new issue 
مقابل  initial public offering, unseasoned offering"
707,secondary dealer,"معامله‌گر دست دوم 
مقابل primary dealer"
708,secondary reserves,ذخایر ثانویه (دارایی‌های نقدشو)
709,sector rotation,"چرخش صنعت به صنعت (استراتژی سرمایه‌گذاری سهام)
مترادف group rotation, sector selection"
710,Securities and Investment Board (SIB),"هیأت نظارت بر اوراق بهادار و سرمایه‌گذاری (جایگزین‌شده توسط سازمان نظارت بر خدمات مالی در سال ۱۹۹۷)
← (Financial Services Authority (FSA "
711,securities exchange,بورس اوراق بهادار
712,security analysis,"تحلیل اوراق بهادار (فرآیند سرمایه‌گذاری)
← investment process"
713,security market crash,سقوط بازار اوراق بهادار
714,security selection,اوراق‌گزینی (فرآیند انتخاب اوراق بهادار سبد سرمایه‌گذاری)
715,selective perception,ادراک گزینشی
716,self-attribution bias,سوگیری خوداسنادی
717,self-control bias,سوگیری خودبازداری
718,self-serving bias,سوگیری خودخدمتی
719,self-similarity,خودهمانندی 
720,semi parametric models,مدل‌های نیمه‌پارامتریک
721,semi strong - form efficiency ,کارایی نیمه‌قوی
722,semi strong - form efficient market,بازار کارآی نیمه‌قوی
723,sentiment (emotional) biases,"سوگیری‌های احساسی (علوم شناختی)
مقابل cognitive biases  "
724,serial correlation,"همبستگی پیاپی (تحلیل تکنیکی)
مترادف autocorrelation 
← technical analysis"
725,serial independence,استقلال زنجیره‌ای (سری زمانی)
726,settlement by offset,"تسویۀ جبرانی (خاتمۀ قرارداد آتی با انجام معاملۀ جبرانی به جای تحویل موضوع قرارداد)
مقابل  cash settlement"
727,shelf registration,"ثبت تمهیدی (مجوز اصولی انتشار اوراق بهادار جدید بدون تعیین تاریخ عرضه به منظور ایجاد آمادگی برای زمان انتشار)
مترادف  shelf offering"
728,short - run efficiency,کارایی کوتاه‌مدت
729,shortage costs,هزینه‌های کمبود (موجودی)
730,side effects,آثار جانبی
731,simple basis,پایۀ ساده
732,simple gross return,بازدۀ ناخالص ساده
733,simple moving average (SMA),میانگین متحرک ساده
734,simple return,بازدۀ ساده
735,simulation analysis,"تحلیل شبیه‌سازی (ترکیب الگوهای تحلیل حساسیت و تحلیل سناریو)
←  scenario analysis; sensivity analysis"
736,single stock futures (SSF),قرارداد آتی سهام
737,small firm effect ,"اثر شرکت‌های کوچک (نظریۀ مبتنی بر عملکرد بهتر شرکت‌های کوچک نسبت به شرکت‌های بزرگ)
← (small minus big (SMB"
738,small minus big (SMB),"کوچک و بزرگْ سرمایه (مدل قیمت‌گذاری سهام فاما و فرنچ)
← small firm effect"
739,small order execution system (SOES),سامانۀ الکترونیکی اجرای سفارش‌های کوچک (نزدک)
740,smoothing coefficient,ضریب هموارسازی
741,sources uses of funds statement,"صورت منابع و مصارف وجوه 
مترادف  statement of sources and applications of funds"
742,sovereign risk,"ریسک حکومتی (به واسطۀ نکول دولت وام‌گیرنده)
مترادف    country risk, political risk"
743,special offering,"عرضۀ ویژۀ بلوکی (ویژۀ شرکت‌های عضو بورس نیویورک)
←  special bid"
744,specific risk,"ریسک خاص (ریسک تغییر در ارزش بازار)
مقابل systematic risk"
745,spectral risk measures,معیار‌های ریسک طیفی
746,speculative - grade bonds,"قرضه با رتبۀ سفته‌بازانه
مقابل   investment - grade bonds"
747,speculative motive,انگیزۀ سفته‌بازانه (نگهداری نقدینگی)
748,spendings,مصارف
749,split up,تجزیۀ شرکتی (تقسیم یک شرکت به دو یا چند شرکت)
750,spontaneous sources of financing ,منابع مالی خودجوش (عملیات جاری شرکت)
751,spot - futures parity relationship,رابطۀ برابری قیمت تحویل آنی و آتی
752,spot exchange rate,"نرخ ارز تحویل آنی
←  spot trade "
753,spot price discovery,کشف قیمت تحویل آنی
754,spot trade,معاملات ارزی تحویل آنی
755,spot transaction ,معاملۀ تحویل آنی
756,squeeze,"۱. [مالی] دورۀ انقباضی
2. [سرمایه‌گذاری] اضطرار (بالارفتن قیمت آتی سهام و آتی کالایی و در نتیجه وادارشدن فروشنده‌های عاریتی به پوشش مواضع خود به منظور اجتناب از زیان‌های بیشتر)
←  selling short; short position
۳. [بازار اوراق بهادار] کمیابی مصنوعی 
مترادف  corner"
757,stable growth rate,"نرخ رشد پایا
مترادف   constant growth rate"
758,stand - alone principle,"اصل استقلال (رویکرد سرمایه‌گذاری ناظر به ارزیابی پروژه)
← incremental cash flows"
759,standard specification,مشخصات استاندارد
760,standard uniform distribution,توزیع استاندارد یکنواخت
761,standby fee,وجه پذیره‌نویسی احتیاطی (پرداختی به پذیره‌نویس)
762,standby letter of credit ,"اعتبار اسنادی احتیاطی (ناشر اوراق بهادار)
← off - balance sheet credit substitution"
763,static theory of capital structure,"نظریۀ ایستای ساختار سرمایه
← trade - off theory"
764,statistical finance,مالی آماری
765,status que bias,سوگیری حفظ وضعیت موجود
766,stochastic volatility models,مدل‌های تلاطم تصادفی
767,stock index ,شاخص سهام (میانگین موزون قیمت‌های سبد سهام مشخص)
768,stock index futures,قرارداد آتی شاخص سهام
769,stock repurchase plan (or program),"طرح (یا برنامۀ) بازخرید سهام (خرید سهام شرکت توسط خود شرکت) 
← treasury stock"
