,persian,english
1026,"مارپیچ سقوط 
( از دست دادن کنترل شرکت در معرض ورشكستگی به‌واسطۀ افزایش نسبت تبدیل اوراق بهادار قابل تبدیل به سهام عادی )",death spiral
1027,"مالیات ماتَرَک
مترادف  estate tax",death tax
1028,"منحنی درۀ مرگ
( سرمایۀ مخاطره‌آمیز )",death valley curve
1029,"اوراق قرضۀ بدون پشتوانه، تعهد بدهی 
	اوراق قرضۀ بدون پشتوانه ( بدون وثیقه و به اعتبار وام‌گیرنده )>
	تعهد بدهی ( به طور كلی )>
</ol>
 indenture",debenture
1030,"سهام قراردادی 
( بیشتر شبیه سهام ممتاز تا شبیه تعهد بدهی )",debenture stock
1031,"مانده بدهکار
( در دفاتر حسابداری، بدهی به وام‌دهنده یا فروشنده، بدهی خریدار اعتباری سهام به کارگزار )",debit balance
1032,کارت نقدی,debit card
1033,"دامنک بدهكار
( تفاوت ارزش دو اختیار معامله)
متضاد  credit spread",debit spread
1034,بدهی,debt
1035,انباشت بدهی,debt accumulation
1036,"نکول اخلال‌گر 

( اخلال در نظام مالی به واسطۀ قصور مؤسسات مالی بزرگ در انجام تعهدات خود )",debt bomb
1037, debt limit,debt ceiling 
1038,دیون معوق,debt in arrears
1039,"ابزار بدهی

( اوراق قرضه، اوراق مشاركت، اوراق تجاری، صكوك، گواهی سپرده و ... )",debt instrument
1040,سقف بدهی,debt limit
1041,"حاشیۀ بدهی

( مابه التفاوت سقف اعتبار مصوب و وام‌های دریافتی )",debt margin
1042,"نسبت بدهی

 debt - to equity ratio",debt ratio 
1043,"بدهکار

( ناشر اوراق قرضه، بدهکار بانکی )

 obligor",debtor
1044,بازپرداخت بدهی,debt retirement
1045,"ورقۀ بدهی

( برات، اوراق قرضه، اوراق تجاری و ... )",debt security
1046,"پرداخت بدهی

( اصل و بهرۀ وام )

 ability to pay",debt service
1047,"نسبت پوشش بدهی، نسبت پوشش بدهی پوشش پرداخت‌های ثابت 

	[ مالی شركت‌ها ] نسبت پوشش بدهی ( نسبت گردش وجوه نقد به اصل و بهرۀ وام )>
	[ مالی دولتی ] نسبت پوشش بدهی ( درآمد صادرات به بدهی های خارجی )>
	[ مالی شخصی ] پوشش پرداخت‌های ثابت ( اقساط ماهیانۀ بده",debt service coverage
1048,"سواپ بدهی

 swap",debt swap
1049,"نسبت بدهی به حقوق صاحبان سهام

	(نسبت كل بدهی‌ها به حقوق صاحبان سهام، مترادف debt ratio.>
	نسبت بدهی‌های بلندمدت به حقوق صاحبان سهام>
	نسبت بدهی‌های بلندمدت و سهام ممتاز به حقوق سهامداران عادی )>
</ol>",debt - to - equity ratio
1050,"مظنه‌گذاری اعشاری 

( قیمت سهام )",decimal trading
1051,تاریخ اعلام سود,declaration date
1052,"مجوز پرداخت 

( سود سهام )",declare
1053,"روش ماندۀ نزولی 

( استهلاك )

  double declining balance depreciation method-DDB",declining balance method
1054,بیمۀ عمر زمانی نزولی,decreasing term life insurance
1055,"سرمایه  یا ارزش  تعهدشده

( سهام موجود به علاوۀ سهام خزانه )",dedicated capital or value
1056, portfolio dedication,dedication strategy 
1057,"فرانشیز، قابل قبول

	[ بیمه ] فرانشیز ( خسارت عهدۀ بیمه‌گذار )>
	[ مالیات ] قابل قبول ( هزینه‌های قابل قبول مالیاتی )>
</ol>
 tax deductible",deductible
1058,"كسور قانونی، تخفیف


	كسور قانونی ( مالیات )>
	تخفیف ( صورت حساب )>
</ol>",deduction
1059,قباله,deed
1060,"
	وقف‌نامه>
	سند رهن>
</ol>",deed of trust
1061,اوراق قرضه با تخفیف عمده,deep discount bond
1062,"با ارزش ذاتی خیلی بیش از صفر 

( اختیار معامله )",deep in - the - money
1063,"با ارزش ذاتی خیلی كمتر از صفر

( اختیار معامله )",deep out - of - the money
1064, depth of the market,deep market
1065,نکول,default
1066,ریسک نکول,default risk
1067,نسبت حمایت دارایی‌های جاری,defensive interval ratio
1068,اوراق بهادار مطمئن,defensive securities
1069,تعویق مالیات,deferral of taxes
1070,"حساب تعویقی 

( حساب‌های تعویق‌انداز پرداخت مالیات نظیر حساب پس‌انداز بازنشستگی، حساب اقساط وام رهنی، و... )",deferred account
1071, deferred payment annuity,deferred annuity 
1072,"هزینه‌های زود پرداخت‌شده 

( اجاره، بیمه، و ... )

مترادف  deferred expenses, deferred debit, deferred assets

متضاد  deferred income",deferred charge
1073,"اوراق بهادار قابل‌تبدیل به سهام

( عادی )

 convertibles",deferred equity
1074,پیش‌دریافت درآمد,deferred income
1075,"اوراق قرضۀ بهره در سررسید 

( قرضۀ بدون کوپن )",deferred interest bond
1076, ordinary shares,deferred ordinary shares 
1077,مستمری پرداخت آتی,deferred payment annuity
1078, back - end load,deferred sales charge 
1079,"نامۀ نقص مدارك

( متقاضیان انتشار اوراق بهادار جدید )",deficiency letter
1080,"کسری 

( بودجه، درآمدهای قطعی )",deficit
1081,"ارزش ویژۀ منفی

مترادف  negative net worth",deficit net worth
1082,"مصرف كسری بودجه

( پرداخت بابت هزینه‌هایی كه از محل درآمد دولت تأمین نمی‌شود، بلكه از محل بدهی تأمین می‌شود )

 deficit financing",deficit spending
1083,"صندوق سرمایه‌گذاری با سبد ثابت

مترادف  equity investor fund

 Dogs of the Dow",defined asset fund
1084,طرح بازنشستگی با مزایای معین,defined benefit pension plan
1085,طرح بازنشستگی با مشارکت معین,defined contribution pension plan
1086,"انقباض پولی، انقباض قیمت‌ها

	انقباض پولی (متضاد  reflation)>
	انقباض قیمت‌ها>
</ol>",deflation
1087,"مبدل 

( ارزش جاری فعالیت‌های اقتصادی به ارزش تعدیل‌شده با تورم )",deflator
1088,شرکت قانونی,de jure corporation
1089,"انتقال بدهی مالیاتی 

( از شخصی به شخص دیگر )",deflection of tax liability
1090,دیرآغازی ( معاملات سهام ),delayed opening
1091,جریمۀ دیرکرد,delayed payment penalty
1092,قصور ( پرداخت دین ),delinquency
1093,"لغو پذیرش 

( شرکت‌های بورس )

متضاد  listing",delisting
1094,اسناد خزانۀ آماده تحویل,deliverable bills
1095,"تاریخ تحویل 


( قراردادهای آتی، سهام، و اوراق قرضه )",delivery date
1096,"آگهی تحویل

( کالا به طور کلی، کالای موضوع قرارداد آتی به طور اخص )",delivery notice
1097,"پرداخت به هنگام تحویل

مترادف  cash on delivery",delivery versus payment
1098,"ضریب دلتا 

( معیار رابطۀ قیمت اختیار معامله با قیمت قرارداد آتی یا سهام مبنا )",delta
1099,تأمین‌طلبی دلتا ( اختیار معامله ),delta hedging
1100,"سپردۀ دیداری 

مترادف  sight deposit

 compensating balance",demand deposit
1101,وام دیداری,demand loan
1102,"تورم ناشی از فشار تقاضا

 cost - push inflation",demand pull inflation
1103,از گردش انداختن پول,demonetization
1104,تبدیل به سهامی شدن,demutualization
1105,"خصوصی شدن

متضاد  nationalization

 privatization",denationalization
1106,زوجین شاغل,"denks = dual - employed, no kids "
1107,"قطعه، واحد 

	قطعه ( سكه و اسکناس )>
	واحد ( پول، اوراق بهادار )>
</ol>
 Par value",denomination
1108,"ادارۀ پذیرش سهام

( بورس نیویورک )",Department of Stock List
1109,استهلاک ( منابع معدنی ),depletion
1110,"
	سپرده>
	ودیعه>
	بیعانه>
	امانت>
</ol>",deposit
1111,"رسید سپرده‌گذاری

 portfolio depositary receipts",depositary receipt
1112,"قانون مقررات‌زدایی و کنترل پولی مؤسسات سپرده‌پذیر

( امریکا 0891 )

 deregulation",Depository Institutions Deregulation and Monetary Control Act
1113,شرکت سپرده‌گذاری اوراق بهادار و تسویۀ وجوه,Depository Trust and Clearing Corporation-DTCC
1114,"قیمت تمام‌شدۀ منهای استهلاك

مترادف  net book value, depreciated value",depreciated cost
1115,"استهلاک، فرسایش، تضعیف

	[ مالی ] استهلاک ( دارایی‌های ثابت )>
	[ اقتصاد ] فرسایش (دارایی‌های سرمایه‌ای )>
	[ ارز ] تضعیف ( ارزش پول توسط بازار )>
</ol>
 devaluation",depreciation
1116,"بازار کساد

مترادف  buyer’s market

متضاد  seller’s market

 systematic risk",depressed market
1117,"قیمت تنزل‌یافته 

( بازارکساد )

 fundamental analysis",depressed price
1118,ركود,depression
1119,عمق بازار ( سهام ), depth of the market
1120,مقررات‌زدایی,deregulation
1121,"مشتقه 

کوتاه‌شدۀ  derivative instrument",derivative
1122, derivative,derivative instrument
1123,الگوی قیمت‌گذاری مشتقه‌ها,derivative pricing models
1124,"طرح دعوی نیابتی

( سهامداران در غیاب شركت )

مترادف  derivative action",derivative suit
1125,قله‌های نزولی ( تحلیل تکنیکال ),descending tops
1126,"سامانۀ سفارش‌گذاری مستقیم 

( انتقال سفارش‌های كوچك مستقیم به بازارگردان متخصص با حذف كارگزار تالار در بورس نیویورك به منظور تسریع معاملات )",Designated Order Turnaround-DOT
1127,"میز معاملات 

( بانک فدرال رزرو نیویورک )",desk
1128,"نوار نمایش کامپیوتری

( آمار معاملات بورس )",desktop ticker
1129,بورس آلمان,Deutsche Börse AG
1130,"تضعیف ارزش پول

( توسط مقام پولی )

متضاد  revaluation",devaluation
1131,"دامنک قطری 

( استراتژی موضع‌ستانی و موضع‌سپاری در اختیار معاملۀ یكسان با تاریخ و قیمت اِعمال متفاوت )",diagonal spread
1132, cold calling,dialing and smiling
1133,  cold calling,dialing for dollars
1134,صندوق سرمایه‌گذاری الماس,diamond investment trust
1135,"دیموندز 

( واحدهای صندوق سرمایه‌گذاری دیموندز تراست  DIA  كه در سهام 03 شرکت داوجونز صنعتی سرمایه‌گذاری كرده است )", Diamonds
1136,"کارمزد اضافی 

( هزینۀ اضافی معاملات خرده‌فال )

مترادف  odd - lot differential",differential
1137,پول دیجیتال,digital money
1138,"حذف ارقام

( روی نوار نمایش معاملات )",digits deleted
1139,"رقت سود 

 fully diluted earnings per (common) shares",dilution
1140,مقابله با رقت سود,dilution protection
1141,"چاله 

( كاهش اندك قیمت بعد از مدت‌ها ثبات قیمت )",dip
1142,"دسترسی مستقیم 

( بورس )",direct access
1143,هزینۀ مستقیم,direct cost
1144,"سرمایه‌گذاری مستقیم 

( خرید سهام کنترلی شرکت‌ها )",direct investment
1145,"ناشر مستقیم

( فروش مستقیم اوراق تجاری و نه از طریق كارگزاری )", direct issuer
1146, board of directors,director
1147, directors’ indemnities,directors’ and officers’ liability insurance
1148,بیمۀ غرامت مدیران,director’s indemnities
1149,"هزینۀ سربار مستقیم 

( بخش تولید )",direct overhead
1150,"برنامۀ مشارکت مستقیم در سرمایه‌گذاری 


( شرکت‌های مختلط غیرسهامی )",direct participation program
1151,"عرضۀ مستقیم

( اوراق بهادار )

مترادف  private placement",direct placement
1152,"خرید مستقیم 

( سهام صندوق‌های سرمایه‌گذاری با سرمایۀ متغیر بدون كارمزد )

 treasury direct",direct purchase
1153,"انتقال مستقیم 

( دارایی‌ها از یك صندوق یا طرح سرمایه‌گذاری به دیگری )",direct transfer
1154,"سهام فاقد مستندات انتقال

 good delivery",dirty stock
1155,بیمۀ از کار افتادگی,disability income insurance
1156,پرداخت,disbursement
1157,"اعادۀ اعتبار ورشکسته 

( مادۀ 561 قانون تجارت )",discharge of bankruptcy
1158,پرداخت بدهی,discharge of debt
1159,اسقاط حق حبس,discharge of lien
1160,"عدم اظهار نظر 

( حسابرس )

مترادف  ( كانادا )  denial of opinion",disclaimer of opinion
1161,عملیات متوقف‌,discontinued operations
1162,"تخفیف، کسر، تنزیل اوراق قرضه با كسر

	تخفیف ( نقدی، خرید عمده، تجاری )>
	کسر (تفاوت قیمت اسمی و قیمت عرضه )>
	تنزیل اوراق قرضه با كسر>
</ol>",discount 
1163,"اوراق قرضه با كسر

 deep discount bond",discount bond
1164,"کارگزار پاره خدمت

متضاد  full service broker",discount broker
1165, dividend reinvestment plan,discount dividend reinvestment plan
1166,برات نزولی,discounted bill
1167,گردش وجوه نقد تنزیل‌شده,discounted cash flow-DCF
1168,"هضم اخبار 

(انعکاس اخبار در قیمت سهام)",discounting the news
1169,وام تنزیلی,discount loans
1170, point,discount points
1171,"نرخ تنزیل

 capitalization rate",discount rate
1172,"گیشۀ تنزیل 

( فرایند استفادۀ مؤسسات مالی از تسهیلات اعتباری فدرال رزرو به نرخ تنزیل )",discount window
1173,"ثمر كسر

( ثمرروی اوراق بهادار فروخته‌شده با تخفیف )

مترادف  bank discount basis",discount yield
1174,"حساب در اختیار 

( معاملات کارگزار به نیابت از مشتری بدون كسب رضایت یا اطلاع وی با توجه به كسب رضایت كلی قبلی از مشتری )",discretionary account
1175,"درآمد در اختیار

( مصرف‌كننده )",discretionary income
1176,"سفارش در اختیار 

( كارگزار برای تعیین زمان و قیمت )",discretionary order
1177,"
	صندوق سرمایه‌گذاری در اختیار>
	امین‌مختار>
</ol>
متضاد  mondiscretionary trust",discretionary trust
1178,"تورم كاهشی

(با انقباض deflation اشتباه نشود )",disinflation
1179,"واسطه‌زدایی

( حذف واسطه‌گری مالی و رویکرد به سرمایه‌گذاری مستقیم )",disintermediation
1180,"سرمایه‌برداری 

( عكس سرمایه‌گذاری )",disinvestment
1181,"درآمد قابل‌تصرف

 discretionary income",disposable income
1182,انحلال ( شرکت ),dissolution
1183,فروش اضطراری,distress sale
1184,"سندیکای عاملان فروش 

( شرکت‌های تأمین سرمایه یا کارگزاری تسهیل‌کنندۀ عرضۀ اولیه یا ثانویۀ اوراق بهادار در مقادیر عمده )",distributing syndicate
1185,"توزیع، نرم‌فروشی 

	[ مالی شركت‌ها ] توزیع ( درآمد و هزینه‌ها، سود شرکت )>
	[ اقتصاد ] 2-1. توزیع ( کالا ) 2-2. توزیع ( ثروت )>
	[ صندوق‌های سرمایه‌گذاری و شرکت‌های سرمایه‌گذاری با سرمایۀ ثابت ] توزیع ( عایدات سرمایه‌ای تحقق‌یافته )>
	[ اوراق بهادار ",distribution
1186,"دامنۀ فروش

( تحلیل تکنیکال )

متضاد  accumulation area",distribution area
1187,"دورۀ توزیع سود 

( فاصلۀ زمانی بین تاریخ اعلام سود و تاریخ تثبیت مالكیت )",distribution period
1188,"طرح توزیع هزینه‌ها

( صندوق‌های سرمایه‌گذاری مشترك )",distribution plan
1189,"سهام با توزیع تدریجی 

( فروش بخشی و به مرور زمان بلوك‌های بزرگ سهام به منظور جلوگیری از ایجاد اختلال در بازار )",distribution stock
1190,توزیع‌کننده,distributor
1191,"واگرایی 

( تحلیل تکنیکال )

 moving average convergence / divergence-MACD",divergence
1192,"تنوع

( سرمایه‌گذاری، حوزۀ فعالیت شرکت‌ها مانند بیش‌رشته‌ای‌ها )",diversification
1193,صندوق سرمایه‌گذاری متنوع,diversified investment or management
1194,"واگذاری

( دارایی یا سرمایه‌گذاری )",divestiture
1195, dividend rollover plan,dividend capture
1196, clawback,dividend clawback
1197,"نسبت سود سهام پرداخت‌شده

( معادل انگلیسی  dividend payout ratio )",dividend cover
1198,"الگوی سود سهام تنزیل‌شده

( تعیین قیمت سهام )",dividend discount mode- DDM
1199,معافیت سود سهام,dividend exclusion
1200,"سود سهام معوق 

( سهام ممتاز با سود انباشته )

 cumulative preferred stock",dividend in arrears
1201,سود سهام پرداختنی,dividend payable
1202, dividend cover,dividend payout ratio
1203, dividend exclusion,dividend received deduction
1204,"دیویدند رکورد 

( نشریۀ شرکت استاندارد اند پورز حاوی اطلاعاتی راجع به تقسیم سود شرکت‌ها )",Dividend Record
1205,"طرح سرمایه‌گذاری مجدد سود سهام

 no - load stock",dividend reinvestment plan-DRP
1206,"الزامات سود سهام 

( درآمد لازم برای تأمین سود سهام ممتاز )",dividend requirement
1207,"طرح غلتاندن سود سهام

( خرید قبل از تاریخ اعلام سود و فروش بعد از تقسیم سود )

مترادف  dividend capture

 trading dividends",dividend rollover plan
1208,"سود سهام مالیات كاه 

( سود سهام دریافتی از سایر شركت‌ها )",dividends - received deduction
1209,"ثمر سهام 

( سهام ممتاز و عادی )",dividend yield
1210,"مقسوم علیه 

( شاخص سهام )",divisor
1211, draft,documentary draft
1212,"اعتبارنامۀ اسنادی

مترادف  documentary credit

 letter of credit",documentary letter of credit
1213,"وامانده‌های داو 

( اشارۀ کنایه‌آمیز به ده سهم پر بازدۀ داو جونز صنعتی DJIA )",Dogs of the Dow
1214,"کسب و کار با نام تجاری

( غیر از نام قانونی مندرج در اساسنامه )

مترادف  assumed name",doing business as-DBA
1215,بدبین به دلار,dollar bears
1216, constant dollar plan,dollar cost averaging
1217,اُفت منابع دلاری ( موازنۀ منفی کشورها با امریکا ),dollar drain
1218,"ارزش دلاری 

( قیمت اوراق قرضه به شكل درصدی از قیمت اسمی )",dollar price
1219,کمبود دلار,dollar shortage
1220,"ارزش دلاری 

( معاملات سهام )",dollar volume
1221,"بازدۀ موزون دلاری 

 time weighting return",dollar - weighting of returns
1222, acceptance,domestic acceptance
1223,"شرکت ایالتی

( ثبت‌شده در یکی از ایالات امریکا )",domestic corporation
1224,اقامتگاه دایمی,domicile
1225,اثر دومینو,domino effect
1226,سهام اهدایی, donated stock
1227,"سرمایۀ اهدایی

مترادف  donated capital",donated surplus
1228,"افزایش ممنوع 

( ممنوعیت افزایش میزان سفارش سهام )",do not increase-DNI
1229,"کاهش ممنوع 

( ممنوعیت کاهش میزان سفارش سهام )", do not reduce-DNR
1230,"واهِب

مترادف  grantor",donor
1231,"تک‌روی ممنوع 

( نهی از معامله برخلاف روند بازار )",don’t fight the tape
1232,"چه می‌دانم 

( اصطلاح عامیانۀ وال‌استریت برای معاملۀ مورد اختلاف بین کارگزاران )

مترادف  questioned trade-QT",don’t know
1233,حباب شركت‌های اینترنتی,dot. come bubble
1234,"سامانۀ حراج دوطرفه

مترادف  auction market


متضاد  Dutch auction", double auction system
1235,"قرضۀ با دو ضامن 

( اوراق قرضۀ شهرداری )

مترادف  combination bonds",double - barreled
1236,"کف دوقلو 

( تحلیل تکنیکال )",double bottom
1237,"تأمین‌طلبی مضاعف 

( قرارداد آتی و اختیار معامله )",double hedging
1238,"مالیات مضاعف

 conduit theory",double taxation
1239,"سقف دو قلو


( تحلیل تکنیکال )",double top
1240,"مضاعف‌كاری 

( استراتژی خرید مضاعف یا فروش عاریه‌ای سهام به هنگام تغییرات معكوس قیمت به امید اصلاح و برگشت قیمت در جهت مطلوب معامله‌گر و كسب سود بیشتر )",double up
1241,"هنگامۀ دوگانه 

( سررسید همزمان دو طبقۀ مرتبط با هم اختیار معامله و آتی )

 triple witching day",double witching day
1242, Dogs of the Dow,Dow dividend theory
1243, stock indices and averages,Dow Jones Averages
1244,"میانگین صنعتی داوجونز

 stock indices and averages",Dow Jones Industrial Average
1245,"پیش‌پرداخت

( سهم عهدۀ وام‌گیرنده )",down payment
1246,"تنزل درجه 

( اعتبار اوراق قرضه و سهام )",downgrade
1247,"ریسک کاهش قیمت 

( اوراق بهادار )",downside risk
1248,"كاهش حوزۀ فعالیت 

( جداسازی واحدهای نامربوط و تمركز روی حوزۀ اصلی فعالیت شركت )",downscoping
1249,"کوچک‌سازی

( شرکت‌ها )",downsizing
1250,"پایین‌دستی

( جریان فعالیت شركتی از شركت مادر به شركت‌های تابعه، وام در مقایسه با بهره و سود سهام، عایدی یا عملیات مرحلۀ نهایی تولید )

متضاد  upstream",downstream
1251,"جست منفی

( فروش اوراق بهادار به قیمتی كمتر از قیمت قبلی )

مترادف minus tick

متضاد uptick

 short - sale rule",downtick
1252,"چرخش نزولی 

( چرخۀ اقتصاد، بازار سهام )",downturn
1253,"نظریۀ داو

( تحلیل تکنیکال )",Dow theory
1254,"اوراق قرضۀ دراگون

( قرضۀ بلندمدت دلاری منتشرشده در آسیا )",Dragon Bond
1255,"تخلیۀ ذخایر 

( كاهش عرضۀ پول )",draining reserves
1256,"استرداد 

( حقوق گمرکی )

کوتاه‌شدۀ  customs drawback",drawback
1257,برات‌گیر ( محال‌علیه ),drawee
1258,برات‌کش ( محیل ),drawer
1259,قرضۀ ( اوراق بهادار ) مستردشده,drawn bonds-securities
1260,"سبد آرایی 

( صندوق‌های سرمایه‌گذاری و بازنشستگی )",dressing up a portfolio
1261, dividend reinvestment plan,drip
1262,"سرمایه‌گذاری قطره‌ای

متضاد  lump - sum feed

 evergreen funding",drip feed
1263,"نیرو محرکه 

( صنعت یا تجارت )",driver
1264,سررسید قطعی ( وام ),drop - dead day 
1265,كارمزد هدررفته,drop - dead fee
1266,"اوراق بهادار با مانع سقوط

( اوراق بهادار با نرخ شناور كه در صورت كاهش نرخ بهرۀ مرجع آن به حدی معین به اوراق بهادار با نرخ ثابت تبدیل می‌شود )",droplock security
1267,"بانکداری دوگانه 

( نظام بانکی امریکا )",dual banking 
1268,"پذیرش مضاعف 

( پذیرش در دو بورس )",dual listing
1269,صندوق سرمایه‌گذاری دو منظوره,dual purpose fund
1270,"معاملۀ دو جانبه 

( برای خود و برای مشتری )",dual trading
1271,سررسید ( بدهی ),due date
1272, bill,due bill
1273,ریزكاوی,due diligence
1274,"جلسۀ ریزكاوی

( پذیره‌نویسی )",due diligence meeting
1275,"شرط بازپرداخت وام در صورت فروش 

( قرارداد رهن )",due - on - sale clause
1276,"پولْ‌كانا

متضاد  smart money",dumb money
1277,"دامپینگ، عرضۀ عمدۀ قیمت‌شكنانه


	[ مالیۀ بین‌الملل ] دامپینگ ( ارزان‌فروشی كالا در بازارهای خارج از كشور‌ )>
	[ اوراق بهادار ] عرضۀ عمدۀ قیمت‌شكنانه ( سهام )>
</ol>",dumping 
1278,"رقم دان 

( فهرست شركت‌ها حاوی اطلاعاتی در مورد عدد شناسه، كد نشانی، تعداد كاركنان، و ... آن‌ها )

کوتاه‌شدۀ  Data Universal Numbering System",Dun’s number-Data Universal Numbering System
1279,"نظام دوپون 

( ارزیابی عملکرد مالی )",Dupont system
1280,"کالاهای بادوام

مترادف  hard goods


متضاد  nondurable goods",durable goods
1281,وکالت‌نامۀ دایمی,durable power of attorney
1282,"دیرش

( معیار اندازه‌گیری حساسیت قیمت اوراق قرضه به تغییرات نرخ بهره )",duration 
1283,"حراج هلندی

متضاد  double auction system

 bill",Dutch auction
1284,"حقوق گمرکی

مترادف  customs duty

 tariff",duty
1285,"تخصیص دارایی پویا 

( استراتژی )",dynamic asset allocation
1286,"کارمزد دوسره

 crossed trade",each way
1287,"شاخص سهام اروپا، استرالیا و خاور دور

( مورگان استانلی كاپیتال اینترنشنال )","EAFE-Europe and Australia, Far East Equity Index "
1288,جریمۀ برداشت زودهنگام,early withdrawal penalty
1289,درآمد مكتسب,earned income
1290, retained earnings,earned surplus
1291,"
	بیعانه>
	پیش‌پرداخت ( مستغلات )>
</ol>",earnest money
1292,دارایی عایدی زا,earning asset
1293,عایدی قبل از مالیات,earnings before taxes
1294, managed earnings,earnings management
1295,"شتاب عایدی 

( نرخ رشد سود هر سهم از دوره‌ای به دورۀ دیگر )",earnings momentum
1296, price / earnings ratio-P / E,earnings multiple
1297,"عایدی هر سهم

 fully diluted earnings per (common ) share",earnings per share-EPS
1298,"نسبت عایدی به قیمت

( هر سهم )

مترادف  earnings yield

متضاد  price - earnings ratio",earnings - price ratio
1299, earnings - price ratio,earnings yield
1300,"پرداخت اضافی 

( ادغام و تملک )",earn - out
1301,"پول انبساطی

مترادف  cheap money

متضاد  tight money",easy money
1302,رقیب‌کشی,eating someone’s lunch
1303,"سهام باد کرده 

( پذیره‌نویسی، سهام بلوکی )",eating stock
1304,"بانك الكترونیك

 online banking",e - bank
1305,عایدی قبل از کسر بهره، مالیات، و استهلاک,"EBITA-Earnings Before Interest, Taxes, Depreciation and    Amortization"
1306,اقتصاد سنجی,econometrics
1307,"قانون تطبیق رشد اقتصادی و معافیت مالیاتی

(2001 امریکا )",Economic Growth and Tax Relief Reconciliation Act of 2001
1308,نرخ رشد اقتصادی,economic growth rate
1309,شاخص‌های اقتصادی,economic indicators
1310,مقدار سفارش باصرفه,economic order quantity-EOQ
1311,"قانون مالیاتی بهبود اقتصادی 

(1981 امریکا )",Economic Recovery Tax Act of 1981-ERTA
1312,اقتصاد,economics
1313,صرفه‌جویی در مقیاس,economies of scale
1314, European Currency Unit,ECU
1315,"قانون اج

( مصوب 1919 در امریکا ناظر بر مجاز شدن بانک‌های داخلی به انجام عملیات خارجی بانکی اعطای وام )",Edge Act
1316,"تاریخ اجرا، زمان عرضۀ عمومی،تاریخ اجرا

	[ به طور کلی ] تاریخ اجرا>
	[ اوراق بهادار ] زمان عرضۀ عمومی ( اوراق بهادار تازه منتشرشده )  shelf registration>
	[ بیمه و بانكداری ] تاریخ اجرا ( نافذ شدن قرارداد بیمه )>
</ol>",effective date
1317,بدهی مؤثر,effective debt
1318,ارزش ویژۀ مؤثر,effective net worth
1319,"نرخ مؤثر ( اسناد بدهی )

 rate of return",effective rate
1320,نرخ مؤثر مالیات,effective tax rate
1321,سبد كارا,efficient portfolio
1322,"سفارش دوگزینه‌ای


 alternative order",either - or - order
1323,کشش تقاضا و عرضه,elasticity of demand and supply
1324,"تبدیل سفارش


( مشروط به سفارش بازار )",elect
1325,"بانکداری الکترونیک

 online banking",electronic banking
1326,"مشروح معاملات الکترونیکی اوراق بهادار 

( سابقاً مندرج در ورقۀ آبی )",electronic blue sheet-EBS
1327,"تجارت الکترونیک

مترادف  e - commerce",electronic commerce
1328,"شبکۀ الکترونیکی ارتباطات 

(سامانۀ نمایش و انجام معاملات به طریق الکترونیکی)",Electronic Communication Network-ECN
1329,"انتقال الکترونیکی وجوه

مترادف  wire transfer",electronic funds transfer-EFT
1330,"کیف الکترونیکی

 digital money",electronic wallet
1331,"غول‌های بازار

( سرمایه‌گذاران نهادی بزرگ )",elephants
1332,"شاخص یازده قرضه‌ای

( سنجۀ اوراق قرضۀ شهرداری‌ها در امریكا )

مترادف Bond Buyer’s Municipal Bond Index",Eleven Bond Index
1333,"اوراق واجد شرایط

( برای تنزیل مجدد )",eligible paper
1334,"شروط قبولی 

( برای برخورداری از پوشش بیمه‌ای یا مشارکت در صندوق بازنشستگی )",eligibility requirements
1335,"نظریۀ موج الیوت 

( تحلیل تکنیکال )",Elliott Wave Theory
1336,"پری‌زادها 

(10 مرد تحلیل‌گر تکنیکی برنامۀ تلویزیونی Wall Street Week )",Elves
1337,اهلیت ( قانونی ),emancipation
1338,تحریم ( اقتصادی ),embargo
1339,ذخیرۀ اضطراری,emergency fund
1340,"قانون تأمین مالی مسکن اضطراری 

(1970 امریکا )",Emergency Home Finance Act of 1970
1341,سهام رشد نوظهور,emerging growth stock
1342,بازار نوظهور,emerging market
1343,"شاخص آزاد بازارهای نوظهور

( مورگان استانلی کاپیتال اینترنشنال )",Emerging Market Free (EMF) Index
1344,"حق حکومت 

( تصاحب اموال خصوصی برای مصارف عمومی )


 condemnation",Eminent Domain
1345,"قانون تضمین درآمد بازنشستگی كاركنان

(امریکا )",Employee Retirement Income Security Act-ERISA
1346,"طرح ترویج سهامداری کارکنان

مترادف  employee stock fund",employee stock ownership plan-ESOP
1347,طرح خرید سهام شركت‌ها توسط كاركنان,employee stock purchase plan-ESPP
1348, employee stock purchase plan,employee stock repurchase agreement
1349,"شاخص هزینه‌های اشتغال

( وزارت کار فدرال امریکا )",Employment Cost Index-ECI
1350,گِروی (مال ),encumbered
1351,"مال غیرطلق

متضاد  freehold",encumbered estate
1352,"ظهرنویسی 

( چک، گواهی سهام و اوراق قرضه )

 qualified endorsement",endorsement
1353,وقف,endowment
1354,"بیمۀ عمر مختلط 

( تلفیق بیمۀ عمر به شرط حیات و بیمۀ عمر در صورت فوت بیمه‌شده )",endowment insurance
1355,"صندوق سرمایه‌گذاری انرژی

( سهام شرکت‌های حامل انرژی )",energy mutual fund
1356, income deposit security-IDS,enhanced income security-EIS
1357,"شاخص‌بندی بهینه

( مدیریت صندوق سرمایه‌گذاری شاخص محور )

متضاد  pure index fund",enhanced indexing
